MUTAPLASMID,PARTNER,PRICE
Decayed Small Shield Extender Mutaplasmid,Small Azeotropic Restrained Shield Extender,145840.00
Decayed Medium Shield Extender Mutaplasmid,Medium Shield Extender I,114990.00
Decayed Medium Shield Booster Mutaplasmid,Medium C5-L Compact Shield Booster,176990.00
Decayed Small Shield Booster Mutaplasmid,Small C5-L Compact Shield Booster,85000.00
Decayed Large Shield Booster Mutaplasmid,Large C5-L Compact Shield Booster,430010.00
Decayed Warp Disruptor Mutaplasmid,Faint Scoped Warp Disruptor,166200.00
Decayed Large Shield Extender Mutaplasmid,Large F-S9 Regolith Compact Shield Extender,940130.00
Decayed Gyrostabilizer Mutaplasmid,Counterbalanced Compact Gyrostabilizer,1756900.00
Decayed Medium Proton Smartbomb Mutaplasmid,'Notos' Compact Medium Proton Smartbomb,925500.00
Decayed Small Proton Smartbomb Mutaplasmid,'Notos' Compact Small Proton Smartbomb,18250.00
Decayed Small Plasma Smartbomb Mutaplasmid,'YF-12a' Compact Small Plasma Smartbomb,30768.00
Decayed Medium Plasma Smartbomb Mutaplasmid,'YF-12a' Compact Medium Plasma Smartbomb,927999.00
Decayed Warp Scrambler Mutaplasmid,J5b Enduring Warp Scrambler,97920.00
Decayed Stasis Webifier Mutaplasmid,Fleeting Compact Stasis Webifier,269060.00
Decayed Magnetic Field Stabilizer Mutaplasmid,Vortex Compact Magnetic Field Stabilizer,1834500.00
Decayed Medium Armor Plate Mutaplasmid,400mm Rolled Tungsten Compact Plates,484900.00
Decayed Large Armor Repairer Mutaplasmid,Large ACM Compact Armor Repairer,264720.00
Decayed Medium Energy Neutralizer Mutaplasmid,Large ACM Compact Armor Repairer,227820.00
Decayed Large Plasma Smartbomb Mutaplasmid,'YF-12a' Compact Large Plasma Smartbomb,902513.00
